rnum,docid,hot,thank,gift,contr,views,yviews,article,patient1,ypatient,period,treat,once
853,http://wangyingwz.haodf.com/,4.2,38,274,80290,2029075,18049,101,7978,3,4,1,1
854,http://liujie6.haodf.com/,5,175,1107,94660,2503575,4113,1,7135,6,4,1,1
855,http://maojiangfeng.haodf.com/,4.8,118,471,15330,2191045,2455,38,2254,0,4,1,1
856,http://drxhwu.haodf.com/,4.7,99,587,84403,5036838,5693,86,5818,1,4,1,1
857,http://liwenhui.haodf.com/,4.8,153,442,45367,4826225,6115,101,3725,9,4,1,1
858,http://renweijiaoshou.haodf.com/,4.7,70,233,34195,1323343,3045,6,3479,5,4,1,1
859,http://wangcaihongdr.haodf.com/,4.5,49,1104,73415,3120295,7341,1446,5211,4,4,1,1
860,http://bairan.haodf.com/,4.5,40,373,28470,525644,2312,6,2085,4,4,1,1
861,http://lujvming.haodf.com/,4.4,19,53,11800,134563,1305,0,957,1,4,1,1
862,http://zhangchuandr.haodf.com/,4.3,36,95,21740,370332,4229,8,1960,2,4,1,1
863,http://liangdongfeng.haodf.com/,4.9,302,782,60756,4636566,3533,31,4628,6,4,1,1
864,http://zhujian.haodf.com/,4.8,248,303,6170,560643,1236,4,1151,0,4,1,1
865,http://wmjdl.haodf.com/,4.8,137,985,138715,1238789,7234,25,5164,1,4,1,1
866,http://yangchunhua.haodf.com/,5,291,246,36185,772145,2094,1,3621,6,4,1,1
867,http://kevinling.haodf.com/,4.8,136,1934,89990,1112841,1178,69,4512,1,4,1,1
868,http://zhengzhaohuidr.haodf.com/,4.7,82,267,20155,380231,1420,12,2538,3,4,1,1
869,http://lilingrheumato.haodf.com/,4.6,88,1306,59715,1426925,3416,34,3436,1,4,1,1
870,http://fanglinkai.haodf.com/,4.5,59,394,36960,981394,1333,17,1721,0,4,1,1
871,http://lifen85295255.haodf.com/,4.4,83,1199,61380,2337778,2161,157,3030,6,4,1,1
872,http://wzga.haodf.com/,5,100,937,178155,2131258,11602,17,6374,1,4,1,1
873,http://drzjxcn.haodf.com/,5,50,1043,53605,461614,961,22,1535,3,4,1,1
874,http://lungcancer.haodf.com/,4.9,103,992,121386,6262932,7052,22,5367,2,4,1,1
875,http://njcaomin.haodf.com/,4.8,57,346,26605,420463,1780,2,1234,0,4,1,1
876,http://renxinling.haodf.com/,4.7,45,75,8545,232197,1519,0,871,1,4,1,1
877,http://duchangjun.haodf.com/,4.8,53,165,14995,334233,709,18,1535,2,4,1,1
878,http://chenbozsyy.haodf.com/,4.6,24,285,55940,646612,4626,37,2047,2,4,1,1
